Tree species,Roost/non roost,Height (m),DBH (m),Crown Diameter(m),Tree Density (trees/ha),Plot Basal Area (m2/ha),Distance to Building (m)
Newbouldia laevis,Non-roost,8.8,0.2,5.4,30.0,5.3,18.3
Newbouldia laevis,Non-roost,6.2,0.2,1.2,140.0,12.1,2.4
Newbouldia laevis,Non-roost,6.6,0.2,3.8,70.0,3.9,12.4
Newbouldia laevis,Non-roost,5.8,0.3,0.9,40.0,1.4,8.1
Newbouldia laevis,Non-roost,7.2,0.3,2.5,90.0,1.9,12.6
Newbouldia laevis,Non-roost,8.0,0.3,2.4,80.0,10.9,18.2
Newbouldia laevis,Non-roost,7.2,0.3,3.9,80.0,4.6,15.2
Newbouldia laevis,Non-roost,8.8,0.3,2.2,50.0,2.7,10.2
Unidentified sp 10,Non-roost,4.6,0.3,5.4,50.0,5.9,31.0
Parkia biglobosa,Non-roost,12.2,0.7,14.0,60.0,12.9,32.2
Peltophorum pterocarpum,Non-roost,6.2,0.2,8.0,50.0,5.7,27.6
Peltophorum pterocarpum,Non-roost,5.4,0.2,7.0,30.0,4.7,20.7
Persia americana,Non-roost,8.6,0.3,6.0,40.0,8.1,7.0
Persia americana,Non-roost,10.6,0.4,9.8,30.0,5.2,6.6
Persia americana,Non-roost,6.8,0.4,9.4,10.0,1.2,16.1
Persia americana,Non-roost,8.6,0.5,13.9,50.0,3.8,15.8
Persia americana,Non-roost,7.8,0.6,8.4,10.0,2.6,23.3
Pithecellobium dulce,Non-roost,11.0,0.3,9.3,80.0,9.8,10.3
Pithecellobium dulce,Non-roost,8.8,0.3,6.0,70.0,7.9,9.8
Pithecellobium dulce,Non-roost,8.4,0.3,12.0,90.0,11.3,22.2
Pithecellobium dulce,Non-roost,8.4,0.6,15.2,170.0,34.7,38.2
Pithecellobium dulce,Non-roost,8.0,1.0,9.2,140.0,30.7,34.8
Plumeria rubria,Non-roost,6.2,0.4,8.8,10.0,1.1,16.7
Polyalthia longifolia,Roost,15.0,0.2,2.4,30.0,1.9,5.3
Polyalthia longifolia,Roost,15.2,0.2,2.6,100.0,11.3,19.0
Polyalthia longifolia,Roost,12.2,0.3,4.4,40.0,1.7,17.0
Polyalthia longifolia,Roost,13.5,0.3,1.6,80.0,7.4,30.8
Polyalthia longifolia,Roost,12.3,0.3,3.0,30.0,3.3,7.4
Polyalthia longifolia,Roost,11.0,0.3,10.4,10.0,0.7,2.7
Polyalthia longifolia,Roost,15.0,0.4,5.2,40.0,2.9,7.2
Polyalthia longifolia,Roost,16.4,0.5,7.0,20.0,7.2,2.6
Polyalthia longifolia,Roost,14.2,0.5,8.6,20.0,2.7,9.0
Polyalthia longifolia,Non-roost,6.8,0.1,5.0,80.0,14.4,34.6
Polyalthia longifolia,Non-roost,8.6,0.2,2.0,70.0,3.1,20.6
Polyalthia longifolia,Non-roost,11.0,0.3,5.3,20.0,1.1,0.9
Polyalthia longifolia,Non-roost,8.8,0.3,2.3,70.0,10.4,9.5
Polyalthia longifolia,Non-roost,14.2,0.3,3.4,20.0,1.0,8.9
Polyalthia longifolia,Non-roost,6.8,0.3,1.8,60.0,7.2,7.7
Polyalthia longifolia,Non-roost,9.0,0.4,3.8,60.0,7.2,5.7
Polyalthia longifolia,Non-roost,13.4,0.4,3.2,50.0,7.8,10.9
Polyalthia longifolia,Non-roost,16.0,0.5,7.5,50.0,7.8,13.0
Polyalthia longifolia,Non-roost,16.6,0.5,6.7,60.0,9.3,8.4
Psidium guajava,Non-roost,4.4,0.1,5.0,120.0,10.4,2.3
Psidium guajava,Non-roost,4.2,0.1,3.6,40.0,2.8,14.8
Psidium guajava,Non-roost,6.2,0.1,5.1,20.0,2.1,5.1
Psidium guajava,Non-roost,4.2,0.1,5.9,30.0,2.4,25.3
Psidium guajava,Non-roost,4.2,0.1,5.4,30.0,2.4,21.7
Psidium guajava,Non-roost,4.4,0.2,7.0,20.0,0.8,7.0
Psidium guajava,Non-roost,6.0,0.2,8.6,70.0,5.4,26.3
Psidium guajava,Non-roost,6.2,0.2,4.3,20.0,1.4,19.2
Psidium guajava,Non-roost,5.8,0.3,4.7,30.0,1.5,2.4
Psidium guajava,Non-roost,5.6,0.3,4.4,20.0,1.1,26.1
Psidium guajava,Non-roost,4.6,0.3,5.2,60.0,3.0,37.4
Roystonea regia,Non-roost,6.0,0.3,3.2,20.0,4.0,31.2
Roystonea regia,Non-roost,10.0,0.6,5.4,20.0,4.0,30.3
Samanea saman,Non-roost,9.4,0.5,18.0,90.0,15.4,33.3
Unidentified sp12,Roost,7.2,0.2,6.3,40.0,3.2,4.5
Unidentified sp12,Roost,8.6,0.4,8.4,10.0,1.1,3.6
Unidentified sp12,Roost,11.2,0.5,6.6,20.0,9.2,0.8
Unidentified sp12,Non-roost,7.6,0.2,4.7,80.0,4.2,8.0
Unidentified sp12,Non-roost,6.2,0.2,5.0,30.0,1.7,10.4
Unidentified sp12,Non-roost,9.2,0.3,4.9,50.0,3.6,17.3
Unidentified sp12,Non-roost,8.0,0.4,5.7,60.0,4.0,16.5
Senna siamea,Roost,10.6,0.1,5.0,90.0,8.3,31.3
Senna siamea,Roost,9.6,0.2,14.6,20.0,0.5,8.0
Senna siamea,Roost,11.9,0.3,7.8,100.0,10.7,16.9
Senna siamea,Roost,14.2,0.3,8.0,50.0,6.9,25.9
Senna siamea,Roost,9.8,0.4,10.6,90.0,20.8,12.7
Senna siamea,Roost,12.4,0.4,11.0,60.0,8.2,35.1
Senna siamea,Roost,15.2,0.4,8.8,90.0,15.4,28.8
Senna siamea,Roost,10.2,0.4,16.0,60.0,6.9,32.9
Senna siamea,Roost,14.6,0.4,8.0,90.0,9.1,20.7
Senna siamea,Roost,12.4,0.5,13.0,80.0,16.8,4.9
Senna siamea,Roost,16.2,0.6,15.0,100.0,30.1,8.6
Senna siamea,Roost,16.1,0.6,10.8,60.0,15.5,10.7
Senna siamea,Roost,9.6,0.8,11.0,50.0,9.8,18.7
Senna siamea,Roost,14.2,0.9,12.6,70.0,16.4,11.2
Senna siamea,Non-roost,9.6,0.1,5.4,210.0,15.4,41.3
Senna siamea,Non-roost,7.8,0.1,6.5,90.0,6.8,6.8
Senna siamea,Non-roost,6.0,0.2,5.8,180.0,35.8,42.4
Senna siamea,Non-roost,6.8,0.2,7.6,70.0,12.0,29.5
Senna siamea,Non-roost,5.2,0.2,6.6,70.0,12.0,27.2
Senna siamea,Non-roost,6.8,0.2,6.3,70.0,12.0,30.6
Senna siamea,Non-roost,8.4,0.2,6.0,50.0,5.0,33.4
Senna siamea,Non-roost,9.8,0.2,8.4,60.0,7.6,41.7
Senna siamea,Non-roost,10.4,0.2,8.1,190.0,13.9,43.0
Senna siamea,Non-roost,10.4,0.2,6.6,190.0,12.7,44.8
Senna siamea,Non-roost,10.4,0.2,5.4,230.0,18.3,47.3
Senna siamea,Non-roost,13.2,0.2,7.0,190.0,37.2,42.1
Senna siamea,Non-roost,8.8,0.2,6.0,190.0,14.2,41.5
Senna siamea,Non-roost,13.2,0.2,11.0,210.0,15.0,47.6
Senna siamea,Non-roost,10.4,0.2,7.6,200.0,14.4,43.5
Senna siamea,Non-roost,11.0,0.2,7.3,70.0,9.1,14.3
Senna siamea,Non-roost,7.2,0.2,6.1,110.0,5.9,13.5
Senna siamea,Non-roost,12.0,0.2,13.2,70.0,6.1,12.0
Senna siamea,Non-roost,12.2,0.2,8.8,220.0,15.5,47.1
Senna siamea,Non-roost,12.6,0.2,9.4,160.0,22.9,33.2
Senna siamea,Non-roost,9.0,0.2,7.0,210.0,18.3,39.4
Senna siamea,Non-roost,11.4,0.2,5.0,130.0,12.9,33.1
Senna siamea,Non-roost,7.8,0.3,7.2,20.0,0.6,22.4
Senna siamea,Non-roost,13.2,0.3,10.2,180.0,14.0,38.5
Senna siamea,Non-roost,10.8,0.3,8.6,110.0,11.6,49.2
Senna siamea,Non-roost,13.0,0.3,8.5,50.0,9.3,29.3
Senna siamea,Non-roost,9.0,0.3,7.4,50.0,6.4,21.7
Senna siamea,Non-roost,9.0,0.3,5.7,160.0,11.4,42.2
Senna siamea,Non-roost,9.2,0.3,7.4,260.0,21.1,48.6
Senna siamea,Non-roost,9.2,0.3,8.1,120.0,8.8,6.7
Senna siamea,Non-roost,13.4,0.3,6.0,110.0,17.8,27.8
Senna siamea,Non-roost,14.6,0.3,8.8,230.0,16.2,50.6
Senna siamea,Non-roost,10.6,0.3,10.0,180.0,11.7,38.9
Senna siamea,Non-roost,8.2,0.3,6.2,60.0,8.3,23.9
Senna siamea,Non-roost,12.0,0.3,10.8,150.0,13.7,52.2
Senna siamea,Non-roost,11.8,0.3,9.0,170.0,29.8,45.3
Senna siamea,Non-roost,7.8,0.3,4.0,50.0,5.8,29.5
Senna siamea,Non-roost,15.4,0.3,10.4,190.0,36.1,31.6
Senna siamea,Non-roost,15.4,0.3,8.8,120.0,22.3,27.4
Senna siamea,Non-roost,13.6,0.3,20.4,180.0,35.8,42.5
Senna siamea,Non-roost,12.8,0.3,10.8,210.0,40.6,37.1
Senna siamea,Non-roost,12.0,0.3,11.6,220.0,18.7,42.9
Senna siamea,Non-roost,12.0,0.4,6.7,80.0,18.7,6.4
Senna siamea,Non-roost,12.4,0.4,12.2,110.0,9.4,19.0
Senna siamea,Non-roost,5.8,0.4,2.0,50.0,3.1,9.6
Senna siamea,Non-roost,12.8,0.4,8.7,50.0,5.8,33.2
Senna siamea,Non-roost,10.2,0.4,9.0,90.0,7.8,20.6
Senna siamea,Non-roost,15.8,0.4,15.8,140.0,14.1,29.0
Senna siamea,Non-roost,9.4,0.4,8.8,100.0,8.2,28.3
Senna siamea,Non-roost,9.8,0.4,8.2,70.0,7.9,27.2
Senna siamea,Non-roost,11.6,0.4,16.2,90.0,17.5,26.0
Senna siamea,Non-roost,7.8,0.4,10.9,80.0,6.2,7.9
Senna siamea,Non-roost,13.2,0.4,11.8,50.0,5.8,26.4
Senna siamea,Non-roost,17.0,0.4,13.8,210.0,38.9,34.9
Senna siamea,Non-roost,14.4,0.4,9.5,90.0,17.2,28.9
Senna siamea,Non-roost,9.0,0.4,6.0,50.0,5.0,29.7
Senna siamea,Non-roost,12.0,0.4,5.4,110.0,17.4,26.9
Senna siamea,Non-roost,8.2,0.4,7.6,90.0,9.7,17.8
Senna siamea,Non-roost,7.2,0.5,5.0,50.0,5.8,23.7
Senna siamea,Non-roost,9.6,0.5,11.2,140.0,11.9,49.5
Senna siamea,Non-roost,12.6,0.5,12.0,170.0,34.5,42.2
Senna siamea,Non-roost,12.4,0.5,4.8,30.0,2.8,34.2
Senna siamea,Non-roost,12.5,0.5,7.2,120.0,20.2,29.6
Senna siamea,Non-roost,11.8,0.5,12.0,80.0,11.3,21.1
Senna siamea,Non-roost,11.8,0.5,15.0,250.0,20.6,48.1
Senna siamea,Non-roost,9.2,0.5,6.0,80.0,12.1,16.6
Senna siamea,Non-roost,9.2,0.5,4.4,130.0,29.3,40.3
Senna siamea,Non-roost,9.8,0.6,10.7,10.0,2.4,31.1
Senna siamea,Non-roost,10.0,0.6,7.2,70.0,9.5,19.3
Senna siamea,Non-roost,12.8,0.6,11.6,20.0,4.4,28.4
Senna siamea,Non-roost,10.2,0.6,14.0,80.0,13.0,30.1
Senna siamea,Non-roost,7.6,0.6,6.8,60.0,6.7,28.1
Senna siamea,Non-roost,16.2,0.7,8.6,80.0,18.7,8.3
Senna siamea,Non-roost,13.3,0.7,11.6,110.0,21.0,27.0
Senna siamea,Non-roost,11.8,0.8,6.4,60.0,13.5,23.9
Unidentified sp 15,Non-roost,5.4,0.2,8.5,30.0,3.6,15.6
Unidentified sp 16,Non-roost,9.4,0.8,18.6,60.0,22.1,39.5
Unidentified sp 17,Non-roost,12.0,0.5,11.3,80.0,10.4,4.7
Unidentified sp 18,Non-roost,7.0,0.3,7.8,60.0,6.8,15.4
Spathodea campanulata,Roost,9.2,0.7,11.5,10.0,3.9,23.0
Spathodea campanulata,Roost,14.6,0.8,12.8,30.0,14.9,15.0
Spathodea campanulata,Roost,17.8,1.0,12.4,10.0,7.2,22.6
Spathodea campanulata,Roost,16.6,1.0,13.6,80.0,28.8,8.8
Spathodea campanulata,Non-roost,7.2,0.3,5.6,50.0,9.6,30.1
Spathodea campanulata,Non-roost,8.0,0.3,7.4,40.0,4.4,17.8
Spathodea campanulata,Non-roost,14.8,0.5,12.4,70.0,25.6,11.5
Spondias mombin,Roost,11.2,0.3,12.3,10.0,0.7,9.9
Spondias mombin,Roost,7.6,0.5,7.5,40.0,11.3,10.6
Spondias mombin,Non-roost,5.8,0.1,3.8,80.0,4.9,5.5
Spondias mombin,Non-roost,9.2,0.2,5.8,110.0,5.9,10.0
Spondias mombin,Non-roost,4.6,0.2,4.7,70.0,4.9,12.6
Spondias mombin,Non-roost,5.0,0.2,3.2,40.0,3.8,11.6
Spondias mombin,Non-roost,6.8,0.2,3.4,50.0,1.6,9.1
Spondias mombin,Non-roost,5.6,0.2,3.4,100.0,6.0,13.5
Spondias mombin,Non-roost,8.6,0.2,4.8,80.0,5.3,49.9
Spondias mombin,Non-roost,8.4,0.2,5.4,10.0,0.4,4.7
Spondias mombin,Non-roost,7.0,0.2,6.6,60.0,16.1,4.4
Spondias mombin,Non-roost,8.4,0.3,6.5,60.0,7.6,7.4
Spondias mombin,Non-roost,8.6,0.3,8.2,60.0,7.6,31.1
Spondias mombin,Non-roost,10.4,0.3,12.0,40.0,3.4,29.1
Spondias mombin,Non-roost,7.6,0.3,5.0,30.0,1.2,3.0
Spondias mombin,Non-roost,10.2,0.3,6.4,60.0,7.2,26.2
Spondias mombin,Non-roost,7.6,0.3,9.0,50.0,3.5,5.8
Spondias mombin,Non-roost,5.6,0.3,4.8,50.0,7.6,10.1
Spondias mombin,Non-roost,7.0,0.3,7.6,80.0,5.3,17.6
Spondias mombin,Non-roost,7.4,0.3,7.5,30.0,4.2,18.4
Spondias mombin,Non-roost,8.6,0.3,7.2,110.0,21.3,13.3
Spondias mombin,Non-roost,9.2,0.3,6.1,40.0,2.6,16.3
Spondias mombin,Non-roost,10.0,0.3,6.2,110.0,5.7,6.3
Spondias mombin,Non-roost,7.0,0.3,10.9,50.0,5.6,20.6
Spondias mombin,Non-roost,6.8,0.3,7.1,50.0,2.9,6.5
Spondias mombin,Non-roost,9.4,0.3,8.0,90.0,8.8,12.0
Spondias mombin,Non-roost,11.0,0.3,6.4,70.0,4.9,15.3
Spondias mombin,Non-roost,12.8,0.3,9.0,50.0,8.9,15.2
Spondias mombin,Non-roost,8.6,0.3,4.0,60.0,25.1,19.4
Spondias mombin,Non-roost,4.4,0.3,2.1,20.0,2.7,22.8
Spondias mombin,Non-roost,6.6,0.3,14.0,30.0,7.6,12.9
Spondias mombin,Non-roost,5.0,0.3,4.0,100.0,5.2,14.2
Spondias mombin,Non-roost,13.4,0.4,7.1,80.0,5.3,17.5
Spondias mombin,Non-roost,5.0,0.4,3.0,40.0,3.2,17.9
Spondias mombin,Non-roost,11.1,0.4,5.0,20.0,2.0,20.8
Spondias mombin,Non-roost,8.6,0.4,10.4,60.0,5.7,9.8
Spondias mombin,Non-roost,12.0,0.6,19.2,70.0,7.6,9.4
Sterculia rhinopetala,Roost,8.2,0.2,5.0,100.0,17.7,26.5
Sterculia rhinopetala,Roost,8.5,0.3,4.4,10.0,0.7,7.0
Sterculia rhinopetala,Non-roost,9.4,0.2,5.7,100.0,19.6,13.2
Sterculia rhinopetala,Non-roost,14.4,1.1,13.0,10.0,8.7,31.5
Syzygium sp.,Roost,10.8,0.5,9.6,80.0,9.5,19.9
Syzygium sp.,Non-roost,10.0,0.5,8.8,70.0,7.4,28.2
Tamarindus indica,Roost,9.8,0.7,13.1,10.0,3.7,4.9
Tectona grandis,Roost,13.4,0.4,10.0,40.0,2.4,25.2
Tectona grandis,Roost,11.2,0.5,8.0,60.0,9.1,14.0
Tectona grandis,Roost,12.1,0.6,10.0,20.0,3.2,32.5
Tectona grandis,Roost,11.8,0.8,13.6,30.0,5.0,2.4
Tectona grandis,Non-roost,9.0,0.1,4.8,50.0,6.4,41.9
Tectona grandis,Non-roost,9.0,0.1,3.9,40.0,3.8,43.5
Tectona grandis,Non-roost,8.6,0.1,3.8,70.0,15.0,37.7
Tectona grandis,Non-roost,7.6,0.1,2.6,100.0,9.7,22.5
Tectona grandis,Non-roost,9.0,0.2,6.6,40.0,3.8,44.2
Tectona grandis,Non-roost,10.2,0.2,6.0,190.0,38.3,35.3
Tectona grandis,Non-roost,8.4,0.2,7.0,30.0,5.1,37.0
Tectona grandis,Non-roost,10.2,0.2,4.7,10.0,0.3,24.8
Tectona grandis,Non-roost,11.0,0.2,5.2,60.0,7.6,42.8
Tectona grandis,Non-roost,5.0,0.2,4.4,50.0,4.2,18.7
Tectona grandis,Non-roost,12.4,0.2,5.8,30.0,2.8,34.3
Tectona grandis,Non-roost,10.2,0.2,4.0,170.0,35.8,34.4
Tectona grandis,Non-roost,11.8,0.2,6.9,60.0,7.6,40.2
Tectona grandis,Non-roost,11.8,0.2,7.2,60.0,7.6,39.5
Tectona grandis,Non-roost,9.2,0.3,10.0,50.0,5.0,32.6
Tectona grandis,Non-roost,10.2,0.3,4.5,70.0,6.6,35.9
Tectona grandis,Non-roost,10.2,0.3,4.8,30.0,2.9,21.8
Tectona grandis,Non-roost,13.4,0.3,6.9,70.0,6.7,27.8
Tectona grandis,Non-roost,8.8,0.3,9.3,70.0,7.2,32.9
Tectona grandis,Non-roost,9.8,0.3,8.4,120.0,10.4,23.6
Tectona grandis,Non-roost,13.4,0.3,6.8,90.0,8.1,28.7
Tectona grandis,Non-roost,12.0,0.3,5.7,100.0,9.1,30.2
Tectona grandis,Non-roost,10.8,0.3,9.0,130.0,15.1,28.6
Tectona grandis,Non-roost,12.4,0.3,5.8,60.0,5.4,40.1
Tectona grandis,Non-roost,9.4,0.4,4.6,20.0,2.8,21.7
Tectona grandis,Non-roost,7.4,0.4,6.0,40.0,13.7,21.3
Tectona grandis,Non-roost,8.9,0.4,4.4,40.0,6.9,37.7
Tectona grandis,Non-roost,9.6,0.4,13.6,70.0,7.3,36.4
Tectona grandis,Non-roost,10.6,0.4,7.0,100.0,11.8,17.8
Tectona grandis,Non-roost,10.4,0.4,8.5,130.0,10.3,19.4
Tectona grandis,Non-roost,11.8,0.4,11.0,50.0,3.3,25.0
Tectona grandis,Non-roost,11.8,0.4,11.8,50.0,3.3,23.0
Tectona grandis,Non-roost,10.2,0.4,8.0,160.0,35.8,33.7
Tectona grandis,Non-roost,14.6,0.5,8.0,20.0,7.0,40.9
Tectona grandis,Non-roost,9.0,0.5,7.3,80.0,6.9,34.1
Tectona grandis,Non-roost,7.0,0.5,3.4,40.0,7.6,21.0
Tectona grandis,Non-roost,8.4,0.5,11.6,100.0,10.4,33.5
Tectona grandis,Non-roost,7.4,0.7,4.6,20.0,3.8,28.8
Tectona grandis,Non-roost,9.2,0.7,8.0,40.0,6.9,34.1
Tectona grandis,Non-roost,10.6,0.7,12.0,50.0,4.9,24.9
Tectona grandis,Non-roost,9.2,0.7,6.0,10.0,4.0,42.6
Tectona grandis,Non-roost,9.6,0.8,6.6,20.0,7.0,30.8
Terminalia catappa,Non-roost,6.8,0.3,6.7,30.0,1.5,13.7
Theobroma cacao,Non-roost,5.2,0.3,10.0,50.0,8.1,9.3
Unidentified sp 13,Roost,10.4,0.3,12.0,30.0,1.6,20.6
Unidentified sp 3,Non-roost,5.4,0.2,4.4,60.0,5.4,7.7
Unidentified sp 4,Non-roost,9.6,0.2,4.5,70.0,7.4,20.7
Unidentified sp 4,Non-roost,7.8,0.3,5.0,70.0,7.4,25.8
Unidentified sp 5,Non-roost,9.2,0.3,9.4,50.0,4.2,19.3
Unidentified sp 6,Non-roost,7.6,0.2,7.3,80.0,12.2,8.9
Unidentified sp 6,Non-roost,12.0,0.4,8.6,70.0,6.1,10.5
Unidentified sp 6,Non-roost,5.2,0.5,6.4,50.0,9.1,9.1
Unidentified sp 6,Non-roost,17.2,0.8,9.8,70.0,12.8,33.2
Unidentified sp 9,Non-roost,4.5,0.1,3.2,70.0,6.5,19.9
Unidentified sp 9,Non-roost,7.6,0.4,10.5,20.0,2.9,17.2
Unidentified sp 9,Non-roost,14.8,0.6,11.0,100.0,9.6,9.1
Vitellaria paradoxa,Non-roost,13.0,0.9,19.0,70.0,13.8,42.0
Vitex doniana,Roost,13.2,0.4,8.5,60.0,13.7,7.2
Vitex doniana,Roost,14.7,0.7,13.7,80.0,11.7,4.7
Vitex doniana,Non-roost,6.2,0.2,4.4,150.0,30.8,42.9
Vitex doniana,Non-roost,7.8,0.3,9.0,50.0,10.4,40.5
Vitex doniana,Non-roost,11.8,0.4,6.0,80.0,16.0,23.3
Vitex doniana,Non-roost,11.0,0.4,7.7,50.0,10.4,40.8
Vitex doniana,Non-roost,12.2,0.7,6.6,40.0,7.3,8.1
Vitex doniana,Non-roost,11.0,0.7,13.2,30.0,6.9,22.1
Unidentified sp11,Non-roost,4.6,0.1,4.2,20.0,0.6,13.0
Unidentified sp11,Non-roost,6.6,0.2,6.2,110.0,9.8,13.3
Unidentified sp11,Non-roost,4.4,0.2,4.0,80.0,6.2,4.2
